ID;Übung;Muskelgruppe;Equipment;Unilateral;Bilateral;Gewicht 2x
1;Kabel Crunch;Bauch;Kabel;nein;ja;nein
2;Kurzhantel Russian Twist;Bauch;Kurzhantel;nein;ja;nein
3;Maschine Bauch Crunch;Bauch;Maschine;nein;ja;nein
4;Latzug enger Griff;Rücken;Kabel;nein;ja;nein
5;Latzug breiter Griff;Rücken;Kabel;nein;ja;nein
6;Kabel Rudern enger Griff;Rücken;Kabel;nein;ja;nein
7;Kabel Rudern breiter Griff;Rücken;Kabel;nein;ja;nein
8;Unilateral Kabel Latzug;Rücken;Kabel;nein;ja;nein
9;Kurzhantel Rudern;Rücken;Kurzhantel;ja;nein;nein
10;Langhantel Rudern;Rücken;Langhantel;nein;ja;nein
11;Maschine Rudern breiter Griff;Rücken;Maschine;nein;ja;nein
12;Maschine Latzug;Rücken;Maschine;nein;ja;nein
13;Maschine High Row;Rücken;Maschine;nein;ja;nein
14;Maschine Low Row;Rücken;Maschine;nein;ja;nein
15;T-Bar Rudern;Rücken;Maschine;nein;ja;nein
16;Maschine Rudern Hammergriff;Rücken;Maschine;nein;ja;nein
17;Maschine Rücken Extension;Rücken;Maschine;nein;ja;nein
18;Smith Maschine Rudern;Rücken;Smith Maschine;nein;ja;nein
19;Smith Maschine Romanian Deadlift;Rücken;Smith Maschine;nein;ja;nein
20;Langhantel Romanian Deadlift;Rücken;Langhantel;nein;ja;nein
21;Langhantel Deadlift;Rücken;Langhantel;nein;ja;nein
22;Kabel Romanian Deadlift;Rücken;Kabel;nein;ja;nein
23;Jefferson Curl;Rücken;Langhantel;nein;ja;nein
24;Kurzhantel Romanian Deadlift;Rücken;Kurzhantel;nein;ja;ja
25;Klimmzug;Rücken;Körpergewicht;nein;ja;nein
26;Unterstützer Klimmzug;Rücken;Maschine;nein;ja;nein
27;Face Pulls;Rücken;Kabel;nein;ja;nein
28;Kabel Reverse Flies;Rücken;Kabel;ja;nein;nein
29;Butterfly Reverse;Rücken;Maschine;nein;ja;nein
30;Kurzhantel Reverse Flies;Rücken;Kurzhantel;nein;ja;ja
31;Kelso Shrug;Rücken;Maschine;nein;ja;nein
32;Kabel Kelso Shrug;Rücken;Kabel;nein;ja;nein
33;Unilateral Butterfly Reverse;Rücken;Maschine;nein;nein;nein
34;Kabel Bar Bizeps Curl;Bizeps;Kabel;nein;ja;nein
35;Bayesian Curl;Bizeps;Kabel;ja;nein;nein
36;Kabel Hammer Curl;Bizeps;Kabel;nein;ja;nein
37;Kurzhantel Bizeps Curl;Bizeps;Kurzhantel;ja;nein;nein
38;Kurzhantel Hammer Curl;Bizeps;Kurzhantel;ja;nein;nein
39;Kurzhantel Schräg Bizeps Curl;Bizeps;Kurzhantel;ja;nein;nein
40;Zotman Curl;Bizeps;Kurzhantel;ja;nein;nein
41;Kurzhantel Preacher Curl;Bizeps;Kurzhantel;ja;nein;nein
42;Kurzhantel Spider Curl;Bizeps;Kurzhantel;ja;nein;nein
43;Langhantel Bizeps Curl;Bizeps;Langhantel;nein;ja;nein
44;Langhantel Preacher Curl;Bizeps;Langhantel;nein;ja;nein
45;Maschine Preacher Curl;Bizeps;Maschine;nein;ja;nein
46;EZ-Bar Curl;Bizeps;EZ-Bar;nein;ja;nein
47;EZ-Bar Preacher Curl;Bizeps;EZ-Bar;nein;ja;nein
48;Kabel Flies;Brust;Kabel;nein;ja;nein
49;Kabel Brustpresse;Brust;Kabel;nein;ja;nein
50;Liegestütze;Brust;Körpergewicht;nein;ja;nein
51;Kurzhantel Bankdrücken;Brust;Kurzhantel;nein;ja;ja
52;Kurzhantel Schrägbankdrücken;Brust;Kurzhantel;nein;ja;ja
53;Kurzhantel Flies;Brust;Kurzhantel;nein;ja;ja
54;Langhantel Bankdrücken;Brust;Langhantel;nein;ja;nein
55;Langhantel Schrägbankdrücken;Brust;Langhantel;nein;ja;nein
56;Butterfly;Brust;Maschine;nein;ja;nein
57;Brustpresse;Brust;Maschine;nein;ja;nein
58;Maschine Schrägbrustpresse;Brust;Maschine;nein;ja;nein
59;Maschine Brustpresse (flach);Brust;Maschine;nein;ja;nein
60;Smith Maschine Bankdrücken;Brust;Smith Maschine;nein;ja;nein
61;Smith Maschine Schrägbankdrücken;Brust;Smith Maschine;nein;ja;nein
62;Beinbeuger sitzend;Beine;Maschine;nein;ja;nein
63;Beinbeuger liegend;Beine;Maschine;nein;ja;nein
64;Hip Thrust;Beine;Maschine;nein;ja;nein
65;Smith Maschine Hip Thrust;Beine;Smith Maschine;nein;ja;nein
66;Langhantel Hip Thrust;Beine;Langhantel;nein;ja;nein
67;Kabel Kickbacks;Beine;Kabel;ja;nein;nein
68;Kabel Hüftabduktion;Beine;Kabel;ja;nein;nein
69;Kurzhantel Bulgarian Split Squat;Beine;Kurzhantel;ja;nein;ja
70;Sumo Squat;Beine;Kurzhantel;nein;ja;nein
71;Goblin Squat;Beine;Kurzhantel;nein;ja;nein
72;Langhantel Squat;Beine;Langhantel;nein;ja;nein
73;Kurzhantel Lunge;Beine;Kurzhantel;ja;nein;ja
74;Langhantel Lunge;Beine;Langhantel;ja;nein;nein
75;Smith Maschine Lunge;Beine;Smith Maschine;ja;nein;nein
76;Smith Maschine Bulgarian Split Squat;Beine;Smith Maschine;ja;nein;nein
77;Beinpresse;Beine;Maschine;nein;ja;nein
78;Hack Squat;Beine;Maschine;nein;ja;nein
79;Hüftabduktion;Beine;Maschine;nein;ja;nein
80;Hüftadduktion;Beine;Maschine;nein;ja;nein
81;V Squat;Beine;Maschine;nein;ja;nein
82;Pendulum Squat;Beine;Maschine;nein;ja;nein
83;Smith Maschine Squat;Beine;Smith Maschine;nein;ja;nein
84;Beinstrecker;Beine;Maschine;nein;ja;nein
85;Wadenpresse sitzend;Beine;Maschine;nein;ja;nein
86;Wadenheben;Beine;Maschine;nein;ja;nein
87;Smith Maschine Wadenheben;Beine;Smith Maschine;nein;ja;nein
88;Wadenheben Beinpresse;Beine;Maschine;nein;ja;nein
89;Kabel Seitheben;Schultern;Kabel;ja;nein;nein
