ID;Übung;Muskelgruppe main;Quadrizeps;Beinbeuger;Glutes;Waden;Schultern;Trizeps;Trapez;Latissimus;Bizeps;Brust;Bauch;Unterer Rücken;Equipment;Unilateral;Bilateral;Gewicht 2x
1;Kabel Crunch;Bauch;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;Kabel;nein;ja;nein
2;Kurzhantel Russian Twist;Bauch;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;Kurzhantel;nein;ja;nein
3;Maschine Bauch Crunch;Bauch;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;Maschine;nein;ja;nein
4;Latzug enger Griff;Latissimus;0%;0%;0%;0%;10%;0%;15%;50%;25%;0%;0%;0%;Kabel;nein;ja;nein
5;Latzug breiter Griff;Latissimus;0%;0%;0%;0%;10%;0%;15%;50%;25%;0%;0%;0%;Kabel;nein;ja;nein
6;Kabel Rudern enger Griff;Latissimus;0%;0%;0%;0%;10%;0%;25%;45%;20%;0%;0%;0%;Kabel;nein;ja;nein
7;Kabel Rudern breiter Griff;Trapez;0%;0%;0%;0%;15%;0%;40%;30%;15%;0%;0%;0%;Kabel;nein;ja;nein
8;Unilateral Kabel Latzug;Latissimus;0%;0%;0%;0%;10%;0%;15%;50%;25%;0%;0%;0%;Kabel;ja;nein;nein
9;Kurzhantel Rudern;Latissimus;0%;0%;0%;0%;10%;0%;25%;45%;20%;0%;0%;0%;Kurzhantel;ja;nein;nein
10;Langhantel Rudern;Trapez;0%;0%;0%;0%;15%;0%;40%;30%;15%;0%;0%;0%;Langhantel;nein;ja;nein
11;Maschine Rudern breiter Griff;Trapez;0%;0%;0%;0%;15%;0%;40%;30%;15%;0%;0%;0%;Maschine;nein;ja;nein
12;Maschine Latzug;Latissimus;0%;0%;0%;0%;10%;0%;15%;50%;25%;0%;0%;0%;Maschine;nein;ja;nein
13;Maschine High Row;Latissimus;0%;0%;0%;0%;10%;0%;25%;45%;20%;0%;0%;0%;Maschine;nein;ja;nein
14;Maschine Low Row;Latissimus;0%;0%;0%;0%;10%;0%;25%;45%;20%;0%;0%;0%;Maschine;nein;ja;nein
15;T-Bar Rudern;Trapez;0%;0%;0%;0%;15%;0%;40%;30%;15%;0%;0%;0%;Maschine;nein;ja;nein
16;Maschine Rudern Hammergriff;Latissimus;0%;0%;0%;0%;10%;0%;25%;45%;20%;0%;0%;0%;Maschine;nein;ja;nein
17;Maschine Rücken Extension;Unterer Rücken;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;Maschine;nein;ja;nein
18;Smith Maschine Rudern;Trapez;0%;0%;0%;0%;15%;0%;40%;30%;15%;0%;0%;0%;Smith Maschine;nein;ja;nein
19;Smith Maschine Romanian Deadlift;Beinbeuger;0%;45%;25%;0%;0%;0%;5%;5%;0%;0%;5%;15%;Smith Maschine;nein;ja;nein
20;Langhantel Romanian Deadlift;Beinbeuger;0%;45%;25%;0%;0%;0%;5%;5%;0%;0%;5%;15%;Langhantel;nein;ja;nein
21;Langhantel Deadlift;Glutes;10%;20%;30%;0%;0%;0%;10%;10%;0%;0%;5%;15%;Langhantel;nein;ja;nein
22;Kabel Romanian Deadlift;Beinbeuger;0%;45%;25%;0%;0%;0%;5%;5%;0%;0%;5%;15%;Kabel;nein;ja;nein
23;Jefferson Curl;Beinbeuger;0%;40%;10%;0%;0%;0%;5%;0%;0%;0%;10%;35%;Langhantel;nein;ja;nein
24;Kurzhantel Romanian Deadlift;Beinbeuger;0%;45%;25%;0%;0%;0%;5%;5%;0%;0%;5%;15%;Kurzhantel;nein;ja;ja
25;Klimmzug;Latissimus;0%;0%;0%;0%;10%;0%;15%;50%;25%;0%;0%;0%;Körpergewicht;nein;ja;nein
26;Unterstützer Klimmzug;Latissimus;0%;0%;0%;0%;10%;0%;15%;50%;25%;0%;0%;0%;Maschine;nein;ja;nein
27;Face Pulls;Schultern;0%;0%;0%;0%;40%;0%;35%;10%;10%;0%;5%;0%;Kabel;nein;ja;nein
28;Kabel Reverse Flies;Schultern;0%;0%;0%;0%;65%;0%;35%;0%;0%;0%;0%;0%;Kabel;ja;nein;nein
29;Butterfly Reverse;Schultern;0%;0%;0%;0%;65%;0%;35%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
30;Kurzhantel Reverse Flies;Schultern;0%;0%;0%;0%;65%;0%;35%;0%;0%;0%;0%;0%;Kurzhantel;nein;ja;ja
31;Kelso Shrug;Trapez;0%;0%;0%;0%;30%;0%;70%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
32;Kabel Kelso Shrug;Trapez;0%;0%;0%;0%;30%;0%;70%;0%;0%;0%;0%;0%;Kabel;nein;ja;nein
33;Unilateral Butterfly Reverse;Schultern;0%;0%;0%;0%;65%;0%;35%;0%;0%;0%;0%;0%;Maschine;ja;nein;nein
34;Kabel Bar Bizeps Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kabel;nein;ja;nein
35;Bayesian Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kabel;ja;nein;nein
36;Kabel Hammer Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kabel;nein;ja;nein
37;Kurzhantel Bizeps Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kurzhantel;ja;nein;nein
38;Kurzhantel Hammer Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kurzhantel;ja;nein;nein
