key;name;category;isLiquid;kcal;carbs;protein;fat;portions;source
apfel-mit-schale;Apfel, mit Schale;Obst;false;52;11.4;0.3;0.2;1 Stück=130;USDA FDC 171688
banane;Banane;Obst;false;89;20.2;1.1;0.3;1 Stück=120;USDA FDC 173944
birne;Birne;Obst;false;57;12.1;0.4;0.1;1 Stück=150;USDA FDC 169118
orange;Orange;Obst;false;47;9.4;0.9;0.1;1 Stück=150;USDA FDC 169097
mandarine;Mandarine;Obst;false;53;11.5;0.8;0.3;1 Stück=70;USDA FDC 169105
erdbeeren;Erdbeeren;Obst;false;32;5.7;0.7;0.3;;USDA FDC 167762
himbeeren;Himbeeren;Obst;false;52;5.4;1.2;0.7;;USDA FDC 167755
heidelbeeren;Heidelbeeren;Obst;false;57;12.1;0.7;0.3;;USDA FDC 171711
brombeeren;Brombeeren;Obst;false;43;4.3;1.4;0.5;;USDA FDC 173946
johannisbeeren-rot;Johannisbeeren, rot;Obst;false;56;9.5;1.4;0.2;;USDA FDC 173964
stachelbeeren;Stachelbeeren;Obst;false;44;5.9;0.9;0.6;;USDA FDC 173030
weintrauben;Weintrauben;Obst;false;69;17.2;0.7;0.2;;USDA FDC 174683
kirschen-suess;Kirschen, süß;Obst;false;63;13.9;1.1;0.2;;USDA FDC 171719
pflaume;Pflaume;Obst;false;46;10.0;0.7;0.3;1 Stück=65;USDA FDC 169949
pfirsich;Pfirsich;Obst;false;39;8.0;0.9;0.3;1 Stück=140;USDA FDC 169928
nektarine;Nektarine;Obst;false;44;8.9;1.1;0.3;1 Stück=140;USDA FDC 169914
aprikose;Aprikose;Obst;false;48;9.1;1.4;0.4;1 Stück=35;USDA FDC 171697
wassermelone;Wassermelone;Obst;false;30;7.2;0.6;0.2;;USDA FDC 167765
honigmelone;Honigmelone;Obst;false;36;8.3;0.5;0.1;;USDA FDC 169911
ananas;Ananas;Obst;false;50;11.7;0.5;0.1;;USDA FDC 169124
mango;Mango;Obst;false;60;13.4;0.8;0.4;;USDA FDC 169910
kiwi;Kiwi;Obst;false;61;11.7;1.1;0.5;1 Stück=70;USDA FDC 168153
zitrone-ohne-schale;Zitrone, ohne Schale;Obst;false;29;6.5;1.1;0.3;1 Stück=60;USDA FDC 167746
grapefruit;Grapefruit;Obst;false;42;9.1;0.8;0.1;1 halbe Frucht=123;USDA FDC 174673
avocado;Avocado;Obst;false;160;1.8;2.0;14.7;1 halbe Frucht=100;USDA FDC 171705
rosinen;Rosinen;Obst;false;299;74.8;3.3;0.3;1 Esslöffel=10;USDA FDC 168165
